diff1	diff2
4	8
3	8
6	8
0	0
1	0
0	0
1	12
0	0
0	0
0	0
0	0
2	13
3	16
0	1
0	0
1	11
0	0
0	0
0	0
4	12
0	0
5	9
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
3	17
0	5
0	0
0	0
7	11
0	0
0	0
3	13
5	11
0	11
4	12
3	15
0	0
0	0
8	18
0	0
9	14
8	14
0	0
4	7
0	0
3	11
3	12
0	0
0	0
5	19
0	0
3	14
0	0
0	1
0	0
0	0
5	14
3	11
0	0
10	16
5	10
0	0
3	8
4	10
4	17
7	11
0	0
0	0
0	0
6	10
6	8
6	13
4	9
0	0
0	11
0	0
2	9
0	0
3	9
0	0
2	8
3	8
4	5
3	14
0	0
0	0
0	0
0	0
9	9
0	0
5	15
0	0
6	9
0	0
5	4
0	0
2	7
0	0
0	0
2	8
3	5
0	0
7	19
4	7
5	5
0	0
0	0
0	0
4	10
0	0
5	20
0	0
5	5
0	0
0	0
0	0
0	0
7	19
0	0
0	0
0	0
0	0
0	0
6	5
0	0
0	0
0	0
0	0
0	2
3	7
10	9
0	0
0	0
6	6
6	4
8	5
0	0
4	7
0	0
0	0
0	0
4	2
0	0
0	0
0	0
0	0
3	2
0	0
0	0
0	0
2	5
0	0
0	3
0	0
0	0
0	0
0	0
10	5
0	0
4	5
0	0
0	0
0	0
0	0
14	15
0	0
0	0
2	6
0	0
3	3
0	0
0	0
0	0
0	0
0	0
0	0
6	2
0	0
8	7
0	0
0	0
6	4
0	0
1	1
0	0
5	7
0	1
0	0
0	0
0	1
0	0
6	3
1	2
0	0
2	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1
0	0
6	3
